sale_id,category,qty_mkgs,demand_label,demand_score,lots,kgs
UNKNOWN_Sale of 30 December 2025.pdf,ex_estate,0.76,easier,3,775.0,756978.0
UNKNOWN_Sale of 30 December 2025.pdf,high_medium,0.57,fair,3,1324.0,574804.0
UNKNOWN_Sale of 30 December 2025.pdf,leafy,0.6,fair,3,1574.0,602183.0
UNKNOWN_Sale of 30 December 2025.pdf,semi_leafy,0.46,fair,3,1144.0,464025.0
UNKNOWN_Sale of 30 December 2025.pdf,tippy,0.62,fair,3,1372.0,620735.0
UNKNOWN_Sale of 30 December 2025.pdf,premium_flowery,0.05,fair,3,402.0,51610.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,0.75,irregular,3,1471.0,755715.0
UNKNOWN_Sale of 30 December 2025.pdf,dust,0.37,less,2,448.0,375366.0
UNKNOWN_Sale of 30 December 2025.pdf,total,4.2,bearish,3,,
SALE_38_2025,ex_estate,0.68,good,4,705.0,676440.0
SALE_38_2025,high_medium,0.59,irregular,3,1391.0,593333.0
SALE_38_2025,leafy,0.68,fair,3,1825.0,678446.0
SALE_38_2025,semi_leafy,0.61,fair,3,1479.0,610871.0
SALE_38_2025,tippy,0.85,fair,3,1802.0,853777.0
SALE_38_2025,premium_flowery,0.06,fair,3,433.0,57887.0
SALE_38_2025,off_grade,0.99,fair,3,1948.0,998553.0
SALE_38_2025,dust,0.4,less,2,456.0,396629.0
SALE_38_2025,total,4.86,fair_general,3,,
SALE_34_2025,ex_estate,0.64,good,4,672.0,644791.0
SALE_34_2025,high_medium,0.57,good,4,1381.0,575134.0
SALE_34_2025,leafy,0.74,fair,3,1947.0,744017.0
SALE_34_2025,semi_leafy,0.58,fair,3,1410.0,585645.0
SALE_34_2025,tippy,0.82,fair,3,1791.0,818511.0
SALE_34_2025,premium_flowery,0.04,fair,3,352.0,44608.0
SALE_34_2025,off_grade,1.28,fair,3,2556.0,1280176.0
SALE_34_2025,dust,0.41,good,4,510.0,412306.0
SALE_34_2025,total,5.1,goodgeneral,3,,
SALE_06_2026,ex_estate,0.73,goodgeneral,3,748.0,729368.0
