sale_id,elevation,segment,grade,price_lo_lkr,price_hi_lkr
SALE_2023_46,high_grown,best_western,bop,1240.0,1380.0
SALE_2023_46,high_grown,best_western,bopf,1260.0,1500.0
SALE_2023_46,high_grown,best_western,pekoe_fbop,1240.0,1550.0
SALE_2023_46,high_grown,best_western,op,1100.0,1340.0
SALE_2023_46,high_grown,below_best_western,bop,1100.0,1220.0
SALE_2023_46,high_grown,below_best_western,bopf,1120.0,1240.0
SALE_2023_46,high_grown,below_best_western,pekoe_fbop,980.0,1220.0
SALE_2023_46,high_grown,below_best_western,op,980.0,1080.0
SALE_2023_46,high_grown,plainer_western,bop,940.0,1080.0
SALE_2023_46,high_grown,plainer_western,bopf,940.0,1100.0
SALE_2023_46,high_grown,plainer_western,pekoe_fbop,740.0,960.0
SALE_2023_46,high_grown,plainer_western,op,760.0,960.0
SALE_2023_46,high_grown,brighter_udapussellawa,bop,1060.0,1200.0
SALE_2023_46,high_grown,brighter_udapussellawa,bopf,1000.0,1080.0
SALE_2023_46,high_grown,brighter_udapussellawa,pekoe_fbop,1300.0,1900.0
SALE_2023_46,high_grown,brighter_udapussellawa,op,1080.0,1260.0
SALE_2023_46,high_grown,other_udapussellawa,bop,870.0,1000.0
SALE_2023_46,high_grown,other_udapussellawa,bopf,890.0,980.0
SALE_2023_46,high_grown,other_udapussellawa,pekoe_fbop,760.0,1280.0
SALE_2023_46,high_grown,other_udapussellawa,op,800.0,1060.0
SALE_2023_46,high_grown,best_uva,bop,1140.0,1220.0
SALE_2023_46,high_grown,best_uva,bopf,1020.0,1120.0
SALE_2023_46,high_grown,best_uva,pekoe_fbop,1200.0,1750.0
SALE_2023_46,high_grown,best_uva,op,1060.0,1300.0
SALE_2023_46,high_grown,other_uva,bop,860.0,980.0
SALE_2023_46,high_grown,other_uva,bopf,730.0,1000.0
SALE_2023_46,high_grown,other_uva,pekoe_fbop,760.0,1180.0
SALE_2023_46,high_grown,other_uva,op,780.0,1040.0
SALE_2023_47,high_grown,best_western,bop,1320.0,1460.0
SALE_2023_47,high_grown,best_western,bopf,1300.0,1460.0
SALE_2023_47,high_grown,best_western,pekoe_fbop,1260.0,1650.0
SALE_2023_47,high_grown,best_western,op,1140.0,1280.0
SALE_2023_47,high_grown,below_best_western,bop,1160.0,1300.0
SALE_2023_47,high_grown,below_best_western,bopf,1160.0,1280.0
SALE_2023_47,high_grown,below_best_western,pekoe_fbop,1000.0,1240.0
SALE_2023_47,high_grown,below_best_western,op,1080.0,1120.0
SALE_2023_47,high_grown,plainer_western,bop,940.0,1140.0
SALE_2023_47,high_grown,plainer_western,bopf,920.0,1140.0
