sale_id,category_type,category,elevation,price_lo_lkr,price_hi_lkr
SALE_2023_46,off_grade,fannings_orthodox_better,high,750.0,1060.0
SALE_2023_46,off_grade,fannings_orthodox_better,medium,750.0,840.0
SALE_2023_46,off_grade,fannings_orthodox_better,low,700.0,900.0
SALE_2023_46,off_grade,fannings_ctc_better,high,850.0,
SALE_2023_46,off_grade,fannings_ctc_better,medium,750.0,770.0
SALE_2023_46,off_grade,fannings_ctc_better,low,,
SALE_2023_46,off_grade,fannings_orthodox_other,high,620.0,740.0
SALE_2023_46,off_grade,fannings_orthodox_other,medium,650.0,740.0
SALE_2023_46,off_grade,fannings_orthodox_other,low,600.0,670.0
SALE_2023_46,off_grade,fannings_ctc_other,high,,
SALE_2023_46,off_grade,fannings_ctc_other,medium,710.0,740.0
SALE_2023_46,off_grade,fannings_ctc_other,low,,
SALE_2023_46,off_grade,brokens_good,high,680.0,920.0
SALE_2023_46,off_grade,brokens_good,medium,680.0,1220.0
SALE_2023_46,off_grade,brokens_good,low,680.0,1260.0
SALE_2023_46,off_grade,brokens_other,high,620.0,650.0
SALE_2023_46,off_grade,brokens_other,medium,650.0,670.0
SALE_2023_46,off_grade,brokens_other,low,600.0,650.0
SALE_2023_46,off_grade,bop1a_better,high,720.0,810.0
SALE_2023_46,off_grade,bop1a_better,medium,720.0,1100.0
SALE_2023_46,off_grade,bop1a_better,low,720.0,1450.0
SALE_2023_46,off_grade,bop1a_other,high,680.0,700.0
SALE_2023_46,off_grade,bop1a_other,medium,680.0,700.0
SALE_2023_46,off_grade,bop1a_other,low,,
SALE_2023_46,dust,primary_orth_better,high,1080.0,1650.0
SALE_2023_46,dust,primary_orth_better,medium,800.0,880.0
SALE_2023_46,dust,primary_orth_better,low,860.0,980.0
SALE_2023_46,dust,primary_ctc_better,high,900.0,1000.0
SALE_2023_46,dust,primary_ctc_better,medium,900.0,1040.0
SALE_2023_46,dust,primary_ctc_better,low,1060.0,1320.0
SALE_2023_46,dust,primary_orth_below_best,high,850.0,1060.0
SALE_2023_46,dust,primary_orth_below_best,medium,730.0,790.0
SALE_2023_46,dust,primary_orth_below_best,low,750.0,850.0
SALE_2023_46,dust,primary_ctc_other,high,840.0,900.0
SALE_2023_46,dust,primary_ctc_other,medium,720.0,880.0
SALE_2023_46,dust,primary_ctc_other,low,820.0,850.0
SALE_2023_46,dust,primary_orth_other,high,600.0,840.0
SALE_2023_46,dust,primary_orth_other,medium,640.0,720.0
SALE_2023_46,dust,primary_orth_other,low,530.0,740.0
SALE_2023_46,dust,secondary_better,high,840.0,980.0
SALE_2023_46,dust,secondary_better,medium,760.0,820.0
SALE_2023_46,dust,secondary_better,low,850.0,960.0
SALE_2023_46,dust,secondary_other,high,580.0,830.0
SALE_2023_46,dust,secondary_other,medium,610.0,750.0
SALE_2023_46,dust,secondary_other,low,570.0,820.0
SALE_2023_47,off_grade,fannings_orthodox_better,high,780.0,1040.0
SALE_2023_47,off_grade,fannings_orthodox_better,medium,780.0,790.0
SALE_2023_47,off_grade,fannings_orthodox_better,low,710.0,920.0
SALE_2023_47,off_grade,fannings_ctc_better,high,890.0,
SALE_2023_47,off_grade,fannings_ctc_better,medium,740.0,760.0
SALE_2023_47,off_grade,fannings_ctc_better,low,,
SALE_2023_47,off_grade,fannings_orthodox_other,high,650.0,760.0
SALE_2023_47,off_grade,fannings_orthodox_other,medium,670.0,760.0
SALE_2023_47,off_grade,fannings_orthodox_other,low,650.0,690.0
SALE_2023_47,off_grade,fannings_ctc_other,high,,
SALE_2023_47,off_grade,fannings_ctc_other,medium,700.0,730.0
SALE_2023_47,off_grade,fannings_ctc_other,low,,
SALE_2023_47,off_grade,brokens_good,high,690.0,1080.0
SALE_2023_47,off_grade,brokens_good,medium,700.0,1100.0
SALE_2023_47,off_grade,brokens_good,low,700.0,1300.0
SALE_2023_47,off_grade,brokens_other,high,640.0,670.0
SALE_2023_47,off_grade,brokens_other,medium,670.0,690.0
SALE_2023_47,off_grade,brokens_other,low,620.0,670.0
SALE_2023_47,off_grade,bop1a_better,high,760.0,900.0
SALE_2023_47,off_grade,bop1a_better,medium,760.0,1100.0
SALE_2023_47,off_grade,bop1a_better,low,770.0,1350.0
SALE_2023_47,off_grade,bop1a_other,high,720.0,740.0
SALE_2023_47,off_grade,bop1a_other,medium,730.0,750.0
SALE_2023_47,off_grade,bop1a_other,low,700.0,750.0
SALE_2023_47,dust,primary_orth_better,high,1060.0,1700.0
SALE_2023_47,dust,primary_orth_better,medium,840.0,1000.0
SALE_2023_47,dust,primary_orth_better,low,840.0,920.0
SALE_2023_47,dust,primary_ctc_better,high,950.0,1160.0
SALE_2023_47,dust,primary_ctc_better,medium,920.0,1020.0
SALE_2023_47,dust,primary_ctc_better,low,1000.0,1200.0
SALE_2023_47,dust,primary_orth_below_best,high,880.0,1050.0
SALE_2023_47,dust,primary_orth_below_best,medium,730.0,830.0
SALE_2023_47,dust,primary_orth_below_best,low,760.0,820.0
SALE_2023_47,dust,primary_ctc_other,high,880.0,940.0
SALE_2023_47,dust,primary_ctc_other,medium,690.0,900.0
SALE_2023_47,dust,primary_ctc_other,low,800.0,980.0
SALE_2023_47,dust,primary_orth_other,high,650.0,860.0
SALE_2023_47,dust,primary_orth_other,medium,610.0,720.0
SALE_2023_47,dust,primary_orth_other,low,590.0,750.0
SALE_2023_47,dust,secondary_better,high,850.0,1040.0
SALE_2023_47,dust,secondary_better,medium,770.0,830.0
SALE_2023_47,dust,secondary_better,low,820.0,1040.0
SALE_2023_47,dust,secondary_other,high,560.0,820.0
SALE_2023_47,dust,secondary_other,medium,570.0,750.0
SALE_2023_47,dust,secondary_other,low,590.0,800.0
SALE_2023_44,off_grade,fannings_orthodox_better,high,680.0,940.0
SALE_2023_44,off_grade,fannings_orthodox_better,medium,700.0,830.0
SALE_2023_44,off_grade,fannings_orthodox_better,low,680.0,860.0
SALE_2023_44,off_grade,fannings_ctc_better,high,890.0,
SALE_2023_44,off_grade,fannings_ctc_better,medium,770.0,800.0
SALE_2023_44,off_grade,fannings_ctc_better,low,720.0,1600.0
SALE_2023_44,off_grade,fannings_orthodox_other,high,600.0,670.0
SALE_2023_44,off_grade,fannings_orthodox_other,medium,600.0,680.0
SALE_2023_44,off_grade,fannings_orthodox_other,low,570.0,670.0
SALE_2023_44,off_grade,fannings_ctc_other,high,,
SALE_2023_44,off_grade,fannings_ctc_other,medium,740.0,760.0
SALE_2023_44,off_grade,fannings_ctc_other,low,620.0,710.0
SALE_2023_44,off_grade,brokens_good,high,660.0,960.0
SALE_2023_44,off_grade,brokens_good,medium,660.0,1000.0
SALE_2023_44,off_grade,brokens_good,low,,
SALE_2023_44,off_grade,brokens_other,high,610.0,640.0
SALE_2023_44,off_grade,brokens_other,medium,620.0,650.0
SALE_2023_44,off_grade,brokens_other,low,600.0,640.0
SALE_2023_44,off_grade,bop1a_better,high,710.0,800.0
SALE_2023_44,off_grade,bop1a_better,medium,720.0,980.0
SALE_2023_44,off_grade,bop1a_better,low,,
SALE_2023_44,off_grade,bop1a_other,high,680.0,700.0
SALE_2023_44,off_grade,bop1a_other,medium,650.0,700.0
SALE_2023_44,off_grade,bop1a_other,low,,
SALE_2023_44,dust,primary_orth_better,high,1120.0,1700.0
SALE_2023_44,dust,primary_orth_better,medium,820.0,960.0
SALE_2023_44,dust,primary_orth_better,low,860.0,960.0
SALE_2023_44,dust,primary_ctc_better,high,920.0,1080.0
SALE_2023_44,dust,primary_ctc_better,medium,900.0,1120.0
SALE_2023_44,dust,primary_ctc_better,low,1100.0,1380.0
SALE_2023_44,dust,primary_orth_below_best,high,850.0,1100.0
SALE_2023_44,dust,primary_orth_below_best,medium,750.0,800.0
SALE_2023_44,dust,primary_orth_below_best,low,760.0,850.0
SALE_2023_44,dust,primary_ctc_other,high,900.0,1100.0
SALE_2023_44,dust,primary_ctc_other,medium,720.0,880.0
SALE_2023_44,dust,primary_ctc_other,low,790.0,1040.0
SALE_2023_44,dust,primary_orth_other,high,710.0,840.0
SALE_2023_44,dust,primary_orth_other,medium,660.0,740.0
SALE_2023_44,dust,primary_orth_other,low,660.0,750.0
SALE_2023_44,dust,secondary_better,high,850.0,1100.0
SALE_2023_44,dust,secondary_better,medium,820.0,920.0
SALE_2023_44,dust,secondary_better,low,850.0,920.0
SALE_2023_44,dust,secondary_other,high,620.0,830.0
SALE_2023_44,dust,secondary_other,medium,600.0,800.0
SALE_2023_44,dust,secondary_other,low,530.0,820.0
SALE_2025_25,off_grade,fannings_orthodox_better,high,790.0,1120.0
SALE_2025_25,off_grade,fannings_orthodox_better,medium,790.0,840.0
SALE_2025_25,off_grade,fannings_orthodox_better,low,800.0,870.0
SALE_2025_25,off_grade,fannings_ctc_better,high,,
SALE_2025_25,off_grade,fannings_ctc_better,medium,860.0,900.0
SALE_2025_25,off_grade,fannings_ctc_better,low,780.0,1200.0
SALE_2025_25,off_grade,fannings_orthodox_other,high,620.0,780.0
SALE_2025_25,off_grade,fannings_orthodox_other,medium,620.0,780.0
SALE_2025_25,off_grade,fannings_orthodox_other,low,600.0,790.0
SALE_2025_25,off_grade,fannings_ctc_other,high,,
