sale_id,category,qty_mkgs,demand_label,demand_score,lots,kgs
SALE_06_2026,ex_estate,0.73,goodgeneral,3,748.0,729368.0
SALE_06_2026,high_medium,0.56,fair,3,1394.0,556400.0
SALE_06_2026,leafy,0.96,fair,3,2551.0,959969.0
SALE_06_2026,semi_leafy,0.7,fair,3,1723.0,696649.0
SALE_06_2026,tippy,1.06,fair,3,2290.0,1058442.0
SALE_06_2026,premium_flowery,0.03,fair,3,253.0,34822.0
SALE_06_2026,off_grade,1.45,less,2,2761.0,1449665.0
SALE_06_2026,dust,0.46,less,2,532.0,464532.0
SALE_06_2026,total,5.95,fair_general,3,,
SALE_10_2026,ex_estate,0.75,good,4,797.0,748348.0
SALE_10_2026,high_medium,0.52,fair,3,1267.0,519138.0
SALE_10_2026,leafy,0.69,fair,3,1953.0,694315.0
SALE_10_2026,semi_leafy,0.58,fair,3,1483.0,577101.0
SALE_10_2026,tippy,0.82,fair,3,1843.0,818514.0
SALE_10_2026,premium_flowery,0.04,less,2,285.0,36644.0
SALE_10_2026,off_grade,1.28,irregular,3,2465.0,1279284.0
SALE_10_2026,dust,0.48,less,2,554.0,480312.0
SALE_10_2026,total,5.15,bearish,3,,
SALE_02_2026,ex_estate,0.74,fair,3,773.0,737144.0
SALE_02_2026,high_medium,0.67,easier,3,1581.0,667214.0
SALE_02_2026,leafy,0.79,less,2,2117.0,794803.0
SALE_02_2026,semi_leafy,0.65,fair,3,1561.0,646957.0
SALE_02_2026,tippy,0.93,fair,3,2016.0,929335.0
SALE_02_2026,premium_flowery,0.05,less,2,402.0,55080.0
SALE_02_2026,off_grade,1.26,irregular,3,2409.0,1261546.0
SALE_02_2026,dust,0.46,firmtoeasier,3,545.0,462576.0
SALE_02_2026,total,5.55,bearish,3,,
SALE_07_2026,ex_estate,0.8,good,4,859.0,799623.0
SALE_07_2026,high_medium,0.65,fair,3,1589.0,646567.0
SALE_07_2026,leafy,0.83,fair,3,2293.0,829242.0
SALE_07_2026,semi_leafy,0.64,fair,3,1621.0,643358.0
SALE_07_2026,tippy,0.94,fair,3,2091.0,942118.0
SALE_07_2026,premium_flowery,0.06,fair,3,454.0,63340.0
SALE_07_2026,off_grade,1.26,less,2,2470.0,1264462.0
SALE_07_2026,dust,0.53,less,2,598.0,534304.0
SALE_07_2026,total,5.72,fair_general,3,,
SALE_05_2026,ex_estate,0.78,fair,3,801.0,784524.0
SALE_05_2026,high_medium,0.65,irregular,3,1629.0,654744.0
SALE_05_2026,leafy,0.96,fair,3,2505.0,962061.0
SALE_05_2026,semi_leafy,0.8,fair,3,1839.0,798991.0
SALE_05_2026,tippy,1.01,fair,3,2104.0,1013558.0
SALE_05_2026,premium_flowery,0.06,improved,3,458.0,62362.0
SALE_05_2026,off_grade,1.31,less,2,2593.0,1309972.0
SALE_05_2026,dust,0.5,fair,3,564.0,503510.0
SALE_05_2026,total,6.09,fair_general,3,,
SALE_03_2026,ex_estate,0.82,fair,3,860.0,822654.0
SALE_03_2026,high_medium,0.07,easier,3,1625.0,701393.0
SALE_03_2026,leafy,0.9,fair,3,2207.0,903311.0
SALE_03_2026,semi_leafy,0.84,fair,3,1865.0,843481.0
SALE_03_2026,tippy,1.12,fair,3,2277.0,1123548.0
SALE_03_2026,premium_flowery,0.06,fair,3,453.0,63785.0
SALE_03_2026,off_grade,1.33,irregular,3,2567.0,1330190.0
SALE_03_2026,dust,0.56,fair,3,618.0,561246.0
SALE_03_2026,total,6.35,fair_general,3,,
SALE_08_2026,ex_estate,0.82,good,4,853.0,823266.0
SALE_08_2026,high_medium,0.63,fair,3,1549.0,634203.0
SALE_08_2026,leafy,0.72,fair,3,2074.0,724854.0
SALE_08_2026,semi_leafy,0.65,fair,3,1671.0,646703.0
SALE_08_2026,tippy,0.88,fair,3,1984.0,884025.0
SALE_08_2026,premium_flowery,0.04,fair,3,328.0,41967.0
SALE_08_2026,off_grade,1.23,fair,3,2361.0,1235538.0
SALE_08_2026,dust,0.54,fair,3,601.0,542634.0
SALE_08_2026,total,5.53,fair,3,,
SALE_04_2026,ex_estate,0.81,fair,3,844.0,806690.0
SALE_04_2026,high_medium,0.64,easier,3,1564.0,642046.0
SALE_04_2026,leafy,0.9,less,2,2312.0,900019.0
SALE_04_2026,semi_leafy,0.78,fair,3,1794.0,778194.0
SALE_04_2026,tippy,1.06,fair,3,2209.0,1062997.0
SALE_04_2026,premium_flowery,0.06,fair,3,441.0,61812.0
SALE_04_2026,off_grade,1.26,irregular,3,2443.0,1259365.0
SALE_04_2026,dust,0.51,firmtoeasier,3,568.0,513275.0
SALE_04_2026,total,6.02,bearish,3,,
SALE_09_2026,ex_estate,0.76,good,4,789.0,760627.0
SALE_09_2026,high_medium,0.44,easier,3,1084.0,437979.0
SALE_09_2026,leafy,0.73,good,4,2027.0,733484.0
SALE_09_2026,semi_leafy,0.56,good,4,1440.0,557215.0
SALE_09_2026,tippy,0.81,fair,3,1812.0,811342.0
SALE_09_2026,premium_flowery,0.03,less,2,266.0,35139.0
SALE_09_2026,off_grade,1.46,less,2,2711.0,1456832.0
SALE_09_2026,dust,0.51,less,2,588.0,508925.0
SALE_09_2026,total,5.3,bearish,3,,
SALE_01_2026,ex_estate,0.73,fair,3,756.0,726992.0
SALE_01_2026,high_medium,0.63,fair,3,1488.0,635247.0
SALE_01_2026,leafy,0.85,fair,3,2229.0,847656.0
SALE_01_2026,semi_leafy,0.7,fair,3,1679.0,699651.0
SALE_01_2026,tippy,0.96,fair,3,2114.0,960328.0
SALE_01_2026,premium_flowery,0.05,fair,3,380.0,52489.0
SALE_01_2026,off_grade,1.45,less,2,2780.0,1451497.0
SALE_01_2026,dust,0.42,less,2,489.0,421024.0
SALE_01_2026,total,5.79,fair_general,3,,
